cluster_id,business_label,size,top_words,top_queue,top_tag,rep_tickets,avg_priority,volume,actionability_score
2,General/Miscellaneous (Noisy),454,"problem, issue, restart, resolve, connectivity, update, network, device, support, connection",Technical Support,Technical,"[['Request for Technical Support', 'IT Support', 'Technical'], ['Intermittent Connectivity Problems Detected Across Various Tools', 'General Inquiry', 'Network'], ['Concern Regarding Data Analytics Platform', 'Product Support', 'Bug']]",1.0,407,407.0
7,Digital Strategy & Brand Growth,445,"medical, security, datum, secure, information, hospital, sensitive, ensure, encryption, protect",Technical Support,Security,"[['Enhancing Security of Medical Data in Hospital Settings', 'Customer Service', 'Security'], ['Ensuring Security of Medical Data', 'Product Support', 'Security'], ['Ensuring the Security of Medical Data', 'Product Support', 'Security']]",1.0,395,395.0
10,Investment Analytics Optimization,456,"investment, issue, data, analytic, problem, optimization, software, financial, resolve, datum",Technical Support,Bug,"[[nan, 'Technical Support', 'Bug'], [nan, 'Technical Support', 'Bug'], ['Trouble with Recent Investment Reports Showing Data Discrepancies', 'Product Support', 'Bug']]",1.0,391,391.0
5,SaaS Platform Integration Docs,390,"integration, project, support, integrate, management, request, provide, customer, appreciate, enhance",Technical Support,Feature,"[['Exploring Integration Options for Project Management Tools', 'Returns and Exchanges', 'Integration'], ['Inquiry About Project Management Features and Integration Options', 'Product Support', 'Feature'], ['Request for updating software tools for enhanced integration', 'IT Support', 'Technical']]",1.0,365,365.0
0,Project Management Tool Integration,391,"investment, analytic, data, tool, decision, optimize, analytics, optimization, portfolio, enhance",Customer Service,Feature,"[['Inquiry about Data Analytics Solutions for Investment Optimization', 'Product Support', 'Feedback'], ['Support for Data Analytics Tools in Optimizing Investments', 'Product Support', 'Product'], ['Inquiry Regarding Data Analytics Services for Optimizing Investment Strategies', 'Billing and Payments', 'Feedback']]",1.0,341,341.0
13,Financial Data Discrepancies,397,"access, security, medical, unauthorized, breach, datum, attempt, issue, incident, update",Technical Support,Security,"[['Support Security Issue', 'Product Support', 'Security'], ['Concern Regarding Security Breach in Medical Data System', 'Technical Support', 'Security'], ['Support Concern Over Security Breaches in Medical Data Systems', 'Product Support', 'Security']]",1.0,334,334.0
9,Billing & Subscription Errors,386,"brand, digital, strategy, growth, marketing, enhance, boost, online, customer, strategies",Customer Service,Feedback,"[['Expanding the Brand Through Digital Strategies', 'Technical Support', 'Feedback'], ['Exploring Digital Strategies for Brand Growth and Online Development', 'Returns and Exchanges', 'Feedback'], ['Support Inquiry for Digital Strategies and Brand Growth', 'Technical Support', 'Feedback']]",1.0,328,328.0
11,System Crashes & Compatibility,352,"saas, management, project, integration, integrate, platform, information, provide, documentation, option",Technical Support,Feature,"[[nan, 'Technical Support', 'Feature'], ['Overview of Project Management', 'Technical Support', 'Feature'], ['Overview of Project Management', 'Technical Support', 'Feature']]",1.0,308,308.0
4,Medical Data Security Breaches,313,"engagement, campaign, marketing, digital, target, adjust, strategy, brand, improvement, decline",Product Support,Feedback,"[['Decrease in Engagement for Digital Marketing Campaign', 'Technical Support', 'Performance'], ['Assistance with Marketing Agency Campaign Performance Issues', 'Sales and Pre-Sales', 'Performance'], ['Concerns About Decreased Engagement in Digital Marketing Campaigns', 'Returns and Exchanges', 'Feedback']]",1.0,278,278.0
14,Server Outages & Peak Load,283,"crash, software, issue, update, problem, resolve, restart, application, compatibility, impact",Technical Support,Bug,"[['An Unexpected System Crash During Data Analysis', 'Technical Support', 'Crash'], ['Assistance with Unexpected Software Crashes', 'Technical Support', 'Bug'], ['System Crash Support Inquiry', 'IT Support', 'Crash']]",1.0,251,251.0
1,Digital Marketing Engagement Decline,275,"breach, security, data, medical, incident, outdated, hospital, access, detect, unauthorized",Technical Support,Security,"[['Detected Security Breach in Medical Data Systems', 'IT Support', 'Security'], ['Security Incident in Healthcare Provider System', 'Billing and Payments', 'Security'], ['Healthcare Provider System Data Breach', 'Billing and Payments', 'Security']]",1.0,245,245.0
6,Hospital Data Protection,244,"server, project, issue, delay, dashboard, performance, problem, peak, load, cache",Technical Support,Performance,"[['Performance Delay', 'Product Support', 'Performance'], ['Performance Delay', 'Product Support', 'Performance'], [nan, 'Customer Service', 'Bug']]",1.0,203,203.0
8,Marketing Campaign Performance,220,"campaign, digital, marketing, issue, problem, agency, software, update, restart, resolve",Technical Support,Bug,"[[nan, 'Product Support', 'Performance'], ['Problems with Software Campaigns', 'Technical Support', 'Bug'], ['Complete Failure of Digital Campaign', 'Technical Support', 'Bug']]",1.0,195,195.0
3,Network Connectivity & Device Sync,202,"saas, platform, issue, problem, server, project, resolve, management, update, recent",Technical Support,Bug,"[[nan, 'Product Support', 'Bug'], ['Concern About Performance Issues in SaaS Platform', 'Returns and Exchanges', 'Performance'], ['Concern About Performance Issues in SaaS Platform', 'Returns and Exchanges', 'Performance']]",1.0,173,173.0
12,SaaS Platform Performance,192,"billing, payment, invoice, charge, subscription, discrepancy, error, account, issue, support",Billing and Payments,Billing,"[['Notice of Billing Discrepancies Across Various Services', 'Billing and Payments', 'Billing'], ['Assistance Needed for Billing Discrepancy Problem', 'Billing and Payments', 'Billing'], ['Request for Urgent Review of Billing Discrepancies', 'Billing and Payments', 'Billing']]",1.0,168,168.0
