topic_id,count,top_words,representative_tickets,avg_priority,actionability_score
4,1460,"problem, neu, bitte, unterstützung, lösung, bestehen, starten, versuchen, benötigen, können",Probleme bei der Kontoanmeldung am Freitagabend |  | Erforderliche Untersuchung der Verzögerungen bei der Digitalstrategie-Kampagne,2.228082191780822,3253.0
14,759,"--, the, issue, and, with, issues, problem, have, due, but","Issue with Integrations, Failing | Issue with Integrations, Failing | Issue with Various Software Applications",2.233201581027668,1695.0
0,660,"freuen, können, information, integration, unterstützung, bitte, geehrt, detailliert, rückmeldung, erhalten",Support für Terraform-Integrationen | Neue Schritte im Projektmanagementprozess | ,2.074242424242424,1369.0
9,487,"medizinisch, datum, patientendat, sicherheit, sicherheitsmaßnahme, information, krankenhaus, sicherung, gewährleisten, bitte", |  | Verschlüsselung medizinischer Daten mit SQL,2.1560574948665296,1050.0
13,371,"veraltet, problem, feststellen, bestehen, möglich, software, durchführen, möglicherweise, system, zukünftig",Anfrage für IT-Betreuung | Datensperrverstoß in dem KI-System des Krankenhauses | ,2.269541778975741,841.9999999999999
8,356,"digital, strategie, können, freuen, geben, information, bitte, dienstleistung, erfahren, markenwachstum",Anfrage nach digitalen Strategien für Marketingagenturen | Verbesserung des digitalen Supports zur Förderung des Marktwachstums | Kontakt für Details zu digitalen Marketingstrategien zur Erhöhung der Markenvisibilität,2.056179775280899,732.0
7,315,"--, for, and, could, provide, would, support, with, your, digital",Growth in Brand Through Digital Marketing | Inquiry on Digital Strategies for Brand Growth in Online Sector | Support Request for SendGrid Integration,2.066666666666667,651.0000000000001
6,165,"digital, kampagne, verbessern, verbesserung, ergebnis, leistung, unterstützung, strategie, angepasst, erzielen",Unterstützung für Marketing | Verbesserungen für Marketing-Initiativen erforderlich | Hilfe zur Nutzung von Snagit für Marketingstrategien,2.0424242424242425,337.0
12,140,"optimierung, verbesserung, datenanalyse, investition, treffen, entscheidung, verbessern, optimieren, sap, investitionsentscheidung",Verbesserung der Datenanalyse | Verbessern der Benutzeroberfläche für Projektmanagement | PyTorch Data Analytics,2.0714285714285716,290.0
2,123,"data, --, investment, and, analysis, for, your, support, you, optimization",Update of Data Analytics Models | Evaluate Investment Strategies | Optimize Data Analytics Tools,2.1219512195121952,261.0
10,106,"data, security, medical, access, been, and, systems, system, --, hospital",Request for Data Breach Handling by Customer Service | Security Vulnerability in Medical IT System | Urgent IT System Security Incident,2.330188679245283,246.99999999999997
1,28,"langsam, dashboard, pro, macbook, projekt-dashboard, benutzer, hoch, datenverschlüsselung, erhöht, postgresql",Langsame Aufchargezeit für Dashboard | Probleme mitlangsamen Ladens | häufige Verbindungsabbrüche bei Software-System in Spitzenzeiten,2.25,63.0
11,19,"rabatt, bereitstellen, smart, verfügbar, airtable, zahlungsmethod, erfahren, information, verschieden, preis", | Anfrage nach Preisdetails für ClickUp Premium Pläne | Projektmanagement-Softwarelösungen,1.6842105263157894,32.0
3,7,"google, integration, zoho, firebase, crm, ubuntu, aws, outage, platform, redis",Einfache Integration von Zoho CRM in project management SaaS-Plattformen | IBM SPSS Support_Bedarf | Issues with Google Nest Wifi Router,2.2857142857142856,16.0
5,3,"adobe, elasticsearch, quickbooks, cloud, jira, cassandra, accessing, online, crm, effects", | Probleme bei der Datenversychronisierung zwischen HubSpot CRM und Asana | Neuverleitung des digitalen Marketing-Toolkits für das Markenwachstum,2.3333333333333335,7.0
-1,1,,SynchronisationProjekttermineNichtRichtig,2.0,2.0
