topic_id,count,top_words,representative_tickets,avg_priority,actionability_score
0,1443,"['the', 'problem', 'das', 'die', 'der', 'to', 'und', 'zu', 'and', 'issue']","Problem mit dem Investitionsdashboard melden Betreff: Problem mit dem Investitionsdashboard. An die Kundenservice: Ich schreibe, um eine Problematik mit dem Investitionsdashboard zu melden. Das Dashbo | Problem mit der Datensicherung melden Ich melde mich an, um eine Störung in der Datensicherung zu bemelden. Das System ist plötzlich nicht mehr verfügbar und ich denke, dass das auf veraltete Software | Bericht über Leistungsprobleme bei SaaS Sehr geehrter Kundendienst, ich möchte ein Problem mit der SaaS-Leistung melden. Es treten sporadische Leistungseinbußen auf, die vermutlich auf Konflikte zwisc",1.0,1443.0
1,1230,"['daten', 'die', 'und', 'zu', 'der', 'um', 'medizinischer', 'medizinische', 'in', 'auf']","Bestätigung von versuchtem unerlaubten Zugriff auf medizinische Daten-Server Es ist wichtig zu wissen, dass wir die unerlaubten Zugriffsmöglichkeiten auf medizinische Daten-Server bestätigen. Die Sich | Optimierung der Sicherheitsmaßnahmen für medizinische Daten Schutz Sehr geehrte Kundensupport, ich bitte Sie um Verbesserungen der Sicherheitsprotokolle, um den Schutz medizinischer Daten in unserem H | Sicherheitsmaßnahmen für Airtable Sehr geehrte Kundensupport, ich schreibe an Sie, um die Implementierung von verstärkter Verschlüsselung für Airtable zu besprechen, um sensible medizinische Daten in ",1.0,1230.0
2,974,"['zu', 'die', 'und', 'digitalen', 'der', 'um', 'ich', 'strategien', 'digitale', 'sie']","Anfrage zur Verbesserung der Markensichtbarkeit durch digitale Strategien Sehr geehrte Kundensupport, ich kontaktiere Sie, um Möglichkeiten zur Verbesserung der Markensichtbarkeit und Entwicklung von  | Verbesserung des Online-Wachstums und der Markenbekanntheit durch digitale Unterstützung Sehr geehrter Kundenservice, ich möchte mich erkundigen, wie digitale Strategien das Wachstum der Marke und die | Digitale Strategien für Markenentwicklung Sehr geehrte Kundenservice, ich schreibe an, um nach digitalen Strategien zu fragen, die das Markenwachstum unserer Produktpalette fördern können. Wir sind in",1.0,974.0
3,314,"['ich', 'zu', 'von', 'optimierung', 'und', 'fr', 'die', 'sie', 'mich', 'data']","Hilfe bei Data Analytics benötigt Sehr geehrte Kundensupport, bitte kontaktieren Sie mich, um Ratschläge zur effektiven Nutzung von Data Analytics zu erhalten, die die Optimierung Ihrer Investitionen  |  geehrte Kundenservice, ich kontaktiere mich im Zusammenhang mit Datenanalyse-Dienstleistungen, die zur Optimierung von Investitionsstrategien beitragen. Ich würde gerne mehr Informationen zu den ange | Verbesserung von Investitionen durch die Nutzung von Datenanalyse Betreuer Kundenservice, ich bitte Sie um Ratschläge zur Optimierung meiner Investitionen durch den Einsatz von Datenanalyse. Könnten S",1.0,314.0
4,263,"['integration', 'fr', 'ich', 'und', 'die', 'zu', 'sie', 'saas', 'mich', 'zur']","Integration of SaaS with Project Management Tools Sehr geehrter Kundensupport, ich bitte um eine umfassende Dokumentation der bewährten Verfahren für die Integration von SaaS in bestehende Projektmana | Fragen zur Zusammenarbeit und Skalierbarkeit Sehr geehrte Kundenservice, ich hoffe, es geht Ihnen gut. Ich schreibe an, um mehr über die verfügbaren SaaS-Funktionen unserer Plattform zu erfahren, insb | Support für Integration erforderlich Sehr geehrte Kundensupport, ich wende mich an Sie, um Unterstützung bei der Integration von Microsoft Translator in eine Projektmanagement-Software als Dienst (Saa",1.0,263.0
5,162,"['billing', 'ich', 'die', 'der', 'to', 'bei', 'und', 'rechnung', 'the', 'problem']","Anfrage zur Fehlerbehebung bei Rechnungen Hochgeschätzte Kundenservice-Teams, ich möchte Sie unterrichten, dass ich eine Schwierigkeit mit meiner kürzlich erhaltenen Rechnung verzeichne. Ein Systemfeh | Unerwartete Duplikate von Produktgebühren Sehr geehrte Kundenservice-Team,\n\nich möchte Sie auf einen Fehler hinweisen, den ich bei meiner letzten Bestellung festgestellt habe. Es kam zu unerwarteten | Hoher Betrag auf der letzten Rechnung Sehr geehrter Kundenservice, ich möchte Ihre Aufmerksamkeit auf ein Problem mit meiner letzten Rechnung lenken. Bei der Überprüfung habe ich festgestellt, dass de",1.0,162.0
6,44,"['clickup', 'integration', 'to', 'with', 'the', 'and', 'for', 'google', 'would', 'you']","Request for Google Keep Integration with ClickUp I am writing to request the integration of Google Keep with ClickUp. This would enhance the efficiency of project management and note-taking, allowing  | Request for Enhanced ClickUp Integration with DataRobot I would like to inquire about the integration of ClickUp with DataRobot to enhance project management efficiency. Could you provide more informa | Inquiry about Integration Features of ClickUp Dear Customer Support, I am writing to request further details about the integration capabilities of ClickUp tools. Specifically, I am interested in under",1.0,44.0
7,40,"['login', 'problem', 'anmeldung', 'das', 'browser', 'ich', 'the', 'zu', 'der', 'bei']","Probleme mit dem Login-System heute Neulich habe ich ein unerwartetes Login-Fehler erlebt, was möglicherweise auf die neuesten Sicherheitsupdates zurückzuführen sein könnte. Ich habe bereits versucht, | Login-Probleme bei der Anmeldung Ich habe ein Login-Problem, und es trat unerwartet auf. Ich habe versucht, den Browser-Cache zu leeren und den Rechner neu zu starten, aber das Problem behält sich har | Unerwarteter Login-Fehler gemeldet Ich melde mich, um ein Login-problem heute Morgen zu beschreiben. Das Login ist plötzlich fehlgeschlagen, und ich vermute, dass es auf eine veraltete Browser-Cache z",1.0,40.0
8,29,"['postgresql', '19c', 'oracle', 'you', 'database', 'integration', 'for', 'fr', 'support', 'in']","Request for PostgreSQL Integration Details Dear Customer Support, I am inquiring about the integration of PostgreSQL in our SaaS project management tools. Could you please provide details on the speci | Request for Support on Integrating PostgreSQL Dear Customer Support, I am writing to inquire about the integration of PostgreSQL with our SaaS project management software. Could you provide details on | Request for Support on Integrating PostgreSQL Dear Customer Support, I am writing to inquire about the integration of PostgreSQL with our SaaS project management software. Could you provide details on",1.0,29.0
9,22,"['quickbooks', 'online', 'integration', 'ich', 'sie', 'und', 'mich', 'zu', 'fr', 'quickbooksintegration']","Möglichkeiten zur Integration von QuickBooks Online Ich schreibe, um Details zu den verfügbaren Integrationsoptionen für QuickBooks Online in unserem SaaS-Projektverwaltungstool zu erhalten. Könnten S | Möglichkeiten der Integration von QuickBooks Online Betreff: Weitere Informationen zur Integration von QuickBooks Online\n\nSehr geehrte Kundensupport,\n\nich wende mich an Sie, um zusätzliche Informa | Support für QuickBooks Online - Data Analytics Tools Ich richte mich an Sie, um nach geeigneten Data Analytics Tools für die Optimierung der Investitionen in QuickBooks Online zu fragen. Könnten Sie m",1.0,22.0
