topic_id,count,top_words,representative_tickets
-1,1,,IstcstdinteMicrosoftTeams
0,221,"beeinträchtigen, ausfall, erheblich, kritisch, dringend, störung, system, derzeit, sofortig, beginnen",Dringend: AeroNav-Systeme erleben kritische Störung der Flugplanung | Sofortige Aufmerksamkeit erforderlich: Systemausfall | Dringende Aufmerksamkeit erforderlich: VPN-Verbindungsstörung
1,283,"optimierung, freuen, unterstützung, verbesserung, können, verbessern, werkzeug, geben, bitte, kundenservice", | Hilfe bei Datenanalyse mit KNIME | Verbesserung der Investment-Analyse mit Microsoft Azure-Lösungen
2,408,"information, können, bitte, integration, freuen, geehrt, bereitstellen, unterstützung, detailliert, detail", |  | 
3,28,"verzögerung, zeitweilig, benachrichtigung, studio, akademisch, inkonsistent, feststellen, obs, muster, unannehmlichkeit",Webex Events: Zeitweilige Verzögerungen bei der Genehmigung von Freiwilligen | Sporadische Spielverzögerungen während Live-Events auf Xbox Series X | Problem: Zeitweilige Synchronisationsverzögerungen bei Compliance-Report-Vorlagen
4,234,"--, for, and, your, support, would, could, provide, with, project",Support Request for Data Optimization | Support Request for Data Optimization | Systemrequirements for Integrating Duolingo into Our Project ManagementaaS
5,49,"neu, benutzer, gerät, versuchen, verschieden, browser, windows, obwohl, software, versuch",Anfrage zur Steigerung von Konto-Sicherheit | Anfrage zur Steigerung von Konto-Sicherheit | Probleme mit der Verbindung bei SaaS-Tools für Projektmanagement
6,3,"sap, taskforge, reported, aws, z.b., finance, veranstaltung, cloud, brandpulse, home",Verbesserung von Investitionsanalyse-Tools für Ubuntu 20.04 LTS | Benötigte Unterstützung: Integration von Auktionszeitplänen mit TaskForge | Azure Support
7,244,"--, the, data, and, issue, security, have, system, due, been",Suspected Data Spree Breach in the Medical Sector | Smart Tracker-Security Issue | SUSPICIOUS DATA SPILL DETECTED
8,258,"dringend, erheblich, führen, sofortig, unterstützung, unser, kritisch, verzögerung, aufmerksamkeit, geehrt",Dringende Unterstützung benötigt: Finanzierungsverzögerung beeinträchtigt vorrangiges Wohnbauprojekt | Dringend: Schwere Ungenauigkeiten im KI-Modell führen zu Ausfallzeiten von Solar-Assets | Hohe Transaktionsvolumen-Überlastung des Checkout-Systems - Sofortiges Handeln erforderlich
9,232,"digital, strategie, markenwachstum, kampagne, können, information, unterstützung, verbessern, fördern, erreichen", | Bitten um detaillierte Informationen zu digitalen Strategiedienstleistungen und Markenwachstum | Bitten um detaillierte Informationen zu digitalen Strategiedienstleistungen und Markenwachstum
10,872,"bestehen, bitte, neu, unterstützung, lösung, lösen, versuchen, starten, weiterhin, melden",Problem mit dem Investitionsdashboard melden | Mehrere Produkte sind von gemeldetem Vorfall betroffen | Unterstützung System-Absturz erforderlich
11,466,"anfrage, bezüglich, schreiben, name, support-team,\n\nich, freundlich, hallo, können, bitte, unterstützung",Anfrage bezüglich des Zugriffs auf Strava-Trainingsprotokolle | Anfrage bezüglich früherer Daten zur Anlagennutzung | Anfrage für einen Bericht über den Zugriff auf vergangene Fallrechtsprechung
12,885,"lösung, melden, geehrt, innerhalb, beheben, name, stunde, neu, support-team,\n\nich, schreiben",Sporadische CI/CD-Bereitstellungsfehler gemeldet | Problem mit dem Telemedizin-Lizenzportal heute | Dringend: Unterbrechung des Verkehrswarnsystems
13,302,"--, the, and, with, issue, issues, our, have, software, digital",Support for Campaigns of Marketing Agencies | Support Concerning Digital Marketing Campaign Performance | Issue with Investment Optimization Software
14,514,"medizinisch, datum, krankenhaus, zugriff, maßnahme, sicherheit, patientendat, gewährleisten, information, sicherheitsmaßnahme",Implementierung erweiteter Sicherheitsmaßnahmen für die Schutz von vertraulichen medizinischen Daten in der Klinik | Hilfe zur Behandlung eines Sicherheitsrisikos in der Klinik-IT-Struktur | Medizinische Datenschutzmaßnahmen Verbesserung
