cluster_id,size,top_words,top_queue,top_tag,rep_tickets
0,459,"problem, lösung, verzögerung, team, support, innerhalb, temporär, nich, sporadisch, name",Health/Medical Services,Performance,"[['Problem mit Aktualisierungen der Wetterdaten', 'Travel & Transportation/Air Travel', nan], ['Bezüglich zeitweiliger Ausfallzeiten', 'Business & Industrial/Manufacturing', nan], ['Problem mit Auktionszeitplan-Timelines: Verzögerungen', 'Hobbies & Leisure/Collectibles', nan]]"
1,363,"problem, nich, neu, melden, weiterhin, versuchen, fehlermeldung, screenshot, 10, support",Beauty & Fitness/Fitness Training,Bug,"[['Problem mit der NVivo 14 Lizenzaktivierung', 'Science/Research', nan], ['Problem: Fehler beim Einreichen der Online-Rezeptnachbestellung für Haustiere', 'Pets & Animals/Veterinary Care', nan], ['Anfrage bezüglich Fehler bei der Darlehensberechnung', 'Autos & Vehicles/Sales', nan]]"
2,511,"the, and, issue, with, data, have, issues, due, been, but",Technical Support,Bug,"[['Support Request for Data Integration Issue with GitLab and PowerPoint 2021', 'Product Support', 'Bug'], ['Issue with Integration of Data Collection Tools Support', 'Customer Service', 'Bug'], ['Issue with Delayed Notifications', 'IT Support', 'Network']]"
3,220,"strategie, digital, markenwachstum, freuen, fördern, online, dienstleistung, information, verbessern, marketing",Customer Service,Feedback,"[['Strategien für den Markenwachstum durch digitale Methoden', 'Technical Support', 'Feedback'], ['Frage zur digitalen Strategie-Dienstleistung für Markenwachstum', 'Technical Support', 'Feedback'], ['Verbessern des Markenwachstums durch digitale Strategien', 'Product Support', 'Feedback']]"
4,482,"anfrage, bezüglich, nich, support, team, hallo, schreiben, name, dokumentation, unterstützung",IT & Technology/Network Infrastructure,Product,"[['Anfrage bezüglich Datenarchivierung', 'Games', nan], ['Anfrage bezüglich Zitierformatierung', 'Books & Literature/Non-Fiction', nan], ['Anfrage bezüglich Massenzugriff auf Berichte', 'Books & Literature/Non-Fiction', nan]]"
5,271,"medizinisch, datum, sicherung, it, krankenhaus, verschlüsselung, sicherheitsmaßnahme, information, vertraulichkeit, integrität",Technical Support,Security,"[['Medizinische Unterstützung Anfordern', 'Customer Service', 'Bug'], ['Sicherung medizinischer Daten in Krankenhausaufgabenbereichen', 'Product Support', 'Backup'], ['Sicherung medizinischer Daten unter Windows', 'Customer Service', 'Backup']]"
6,372,"problem, starten, neu, bestehen, lösen, versuchen, überprüfen, behalten, bitte, unterstützung",Technical Support,Technical,"[['Unerwarteter Ansturz des Datenanalyse-Dashboards', 'Technical Support', 'Crash'], ['Problem mit dem Investitionsdashboard melden', 'Technical Support', 'Customer'], ['Probleme mit den Integrationswerkzeugen', 'Technical Support', 'Customer']]"
7,154,"herren, dame, geehrt, nich, problem, dankbar, schreiben, anfrage, name, nmit",Food & Drink/Groceries,N/A,"[['Problem mit dem Erscheinungsbild des Budgetierungstools', 'Finance/Personal Finance', nan], ['Anfrage bezüglich Impfmöglichkeiten für Haustiere', 'Pets & Animals/Veterinary Care', nan], ['Anfrage bezüglich Details zur Hausratversicherung', 'Real Estate', nan]]"
8,634,"problem, digital, mehrere, kampagne, unterstützung, bitte, ursache, lösung, bestehen, neustart",Technical Support,Bug,"[['IstcstdinteMicrosoftTeams', 'Technical Support', 'Bug'], ['Probleme mit Digitalen Kampagnen', 'Technical Support', 'Bug'], ['Festgestellte technische Schwierigkeiten bei mehreren Produkten', 'Technical Support', 'Bug']]"
9,296,"it, krankenhaus, medizinisch, system, veraltet, datum, patientendat, sicherheitsprotokolle, software, feststellen",Technical Support,Security,"[['Kritisches Problem bei unserem Krankenhaus-IT-System', 'Customer Service', 'Bug'], ['Kritisches Problem bei unserem Krankenhaus-IT-System', 'Customer Service', 'Bug'], ['Datenschutzprobleme im Krankenhaus-IT-System', 'Technical Support', 'Security']]"
