cluster_id,size,top_words,top_queue,top_tag,rep_tickets
0,391,"integration, request, integrate, support, customer, provide, enhance, appreciate, platform, improve",Technical Support,Feature,"[['Asking for Integration Support', 'Technical Support', 'Feature'], ['Upgrade SaaS Platform Integration Features', 'General Inquiry', 'Feature'], ['Request for Detailed Integration Guide for Google Keep', 'Technical Support', 'Documentation']]"
1,429,"medical, security, datum, secure, information, sensitive, hospital, encryption, ensure, protect",Technical Support,Security,"[['Secure Medical Data Storage', 'Billing and Payments', 'Security'], ['Enhancing Security of Medical Data in Hospital Settings', 'Customer Service', 'Security'], ['Guidelines for Safeguarding Medical Data', 'Technical Support', 'Security']]"
2,359,"management, project, saas, integration, integrate, information, platform, feature, provide, detailed",Technical Support,Feature,"[['Details on API Integration Options for Project Management SaaS', 'Technical Support', 'Feature'], ['Request for updating project management tools', 'Returns and Exchanges', 'Technical'], ['Eclipse Integration Inquiry', 'Customer Service', 'Technical']]"
3,121,"dashboard, load, problem, issue, server, project, user, loading, cache, analytic",Technical Support,Technical,"[['Problem with Project Dashboard Loading', 'Product Support', 'Performance'], ['Problem with Analytics Dashboard', 'Technical Support', 'Technical'], ['Problem Encountered While Loading Data Analytics Dashboard', 'Technical Support', 'Technical']]"
4,182,"crash, software, issue, problem, update, resolve, restart, application, compatibility, analytic",Technical Support,Bug,"[['Support for System Crashes', 'Technical Support', 'Bug'], ['Technical Support Required for System Crash', 'Technical Support', 'Crash'], ['Technical Difficulty with System Crash Seeking Help', 'Technical Support', 'Bug']]"
5,344,"brand, digital, growth, strategy, marketing, enhance, boost, strategies, online, customer",Customer Service,Feedback,"[['Strategies for Brand Growth through Digital Marketing', 'Billing and Payments', 'Feedback'], ['Strategies for Brand Growth in Digital Sphere', 'Product Support', 'Feedback'], ['Customer Support Digital Brand Growth', 'Customer Service', 'Feedback']]"
6,561,"security, breach, access, medical, unauthorized, incident, outdated, hospital, data, datum",Technical Support,Security,"[[nan, 'Product Support', 'Security'], [nan, 'Product Support', 'Security'], ['Incident of Hospital Data Breach', 'Product Support', 'Security']]"
7,813,"problem, issue, resolve, restart, server, update, recent, device, network, connectivity",Technical Support,Bug,"[['Technical Assistance Needed for Project Management SaaS', 'IT Support', 'Bug'], ['System Crash Support Inquiry', 'IT Support', 'Crash'], ['Report on SaaS Platform Outage', 'Customer Service', 'Outage']]"
8,55,"br, issue, customer, support, problem, report, software, matter, breach, data",Technical Support,Security,"[['Request for SaaS Support Assistance', 'Sales and Pre-Sales', 'Support'], ['Urgent Technical Inquiry', 'Product Support', 'Technical'], ['Report on the Failure of Medical Data Encryption Software', 'Billing and Payments', 'Technical']]"
9,213,"billing, payment, subscription, charge, invoice, discrepancy, account, error, support, issue",Billing and Payments,Billing,"[['Details on Billing Plan Options', 'Billing and Payments', 'Billing'], ['Issue with Billing for SaaS Subscription', 'Billing and Payments', 'Billing'], ['Billing Error Identified', 'Billing and Payments', 'Billing']]"
10,345,"investment, analytic, data, tool, decision, optimize, analytics, optimization, portfolio, enhance",Customer Service,Feature,"[['Improve Investment Strategy with Advanced Data Analytics', 'Customer Service', 'Feature'], ['Improve Investment Strategies with Data Analytics', 'Customer Service', 'Feedback'], ['Improving Investment Optimization Through Data Analytics', 'General Inquiry', 'Feedback']]"
11,214,"campaign, digital, marketing, issue, problem, agency, website, launch, traffic, update",Technical Support,Performance,"[['Issues with Digital Campaign Launch', 'Technical Support', 'Technical'], ['Issues with Campaign Performance', 'Customer Service', 'Performance'], ['Assistance with Declining Performance of Digital Campaigns', 'Customer Service', 'Performance']]"
12,413,"investment, data, issue, financial, analytic, software, optimization, problem, resolve, datum",Technical Support,Bug,"[['Data Analytics Problem Leads to Setbacks in Investment Optimization', 'Human Resources', 'Performance'], ['Concerns Regarding Data Analytics Tools', 'Product Support', 'Bug'], ['Concerns About Investment Optimization Tool', 'General Inquiry', 'Bug']]"
13,282,"issue, problem, support, additional, restart, solution, look, customer, matter, report",Technical Support,Technical,"[[nan, 'Technical Support', 'Bug'], ['Request for Assistance with Reported System Outage', 'Human Resources', 'Outage'], [nan, 'Technical Support', 'Bug']]"
14,278,"engagement, marketing, campaign, digital, strategy, target, brand, improvement, audience, content",Product Support,Feedback,"[['Significant Decline in Digital Marketing Engagement', 'Technical Support', 'Feedback'], ['Request for Marketing Support', 'Customer Service', 'Feedback'], ['Decline in Digital Marketing Campaign to Boost Brand Visibility', 'Customer Service', 'Marketing']]"
