topic_id,top_words
0,"request, update, enhance, improve, integration, current, tool, project, user, customer"
1,"server, issue, problem, platform, project, cache, resolve, saas, clear, performance"
2,"issue, software, problem, update, resolve, persist, restart, compatibility, recent, encounter"
3,"investment, data, analytic, tool, datum, analytics, optimization, decision, support, provide"
4,"digital, brand, strategy, marketing, growth, support, customer, enhance, provide, look"
5,"medical, security, datum, information, data, secure, encryption, hospital, ensure, sensitive"
6,"issue, problem, system, resolve, cause, support, update, customer, impact, report"
7,"integration, api, project, synchronization, issue, sync, problem, datum, quickbooks, jira"
8,"problem, restart, data, issue, system, update, database, configuration, review, log"
9,"management, project, integration, saas, information, provide, integrate, support, appreciate, detail"
10,"campaign, marketing, digital, engagement, agency, strategy, issue, recent, assistance, target"
11,"issue, support, customer, provide, look, matter, information, problem, additional, appreciate"
12,"security, breach, medical, system, access, data, datum, update, software, incident"
13,"investment, data, datum, analytic, website, discrepancy, source, model, optimization, algorithm"
14,"cloud, support, platform, guidance, good, dear, reach, integrate, customer, practice"
