topic_id,count,top_words,representative_tickets,avg_priority,actionability_score
2,638,"issue, software, problem, update, resolve, persist, restart, compatibility, recent, encounter",Assistance with Unexpected Software Crashes | Connectivity Problems with Video Conference System StreamCam | Concern Regarding Product Performance,1.0,638.0
12,599,"security, breach, medical, system, access, data, datum, update, software, incident",Security Notice: Possible Medical Data Breach | Discovery of Unauthorized Access to Medical Data | Investigation of Healthcare Data Security Incident,1.0,599.0
9,509,"management, project, integration, saas, information, provide, integrate, support, appreciate, detail",Inquiry About Billing Options Including QuickBooks Online Integration and SaaS Services | Integrate Smart Tracker Tools | Incorporate Smart Tracker Tools,1.0,509.0
5,440,"medical, security, datum, information, data, secure, encryption, hospital, ensure, sensitive",Ensuring Security of Medical Data on Hospital IT Systems | Protection Strategies for Medical Data on Ubuntu | Query on Security Protocols for Medical Data,1.0,440.0
11,421,"issue, support, customer, provide, look, matter, information, problem, additional, appreciate",Attention to Unpaid Software License Invoices | Problem with Subscription Billing | Problem with subscription fees,1.0,421.0
1,404,"server, issue, problem, platform, project, cache, resolve, saas, clear, performance",Project Management SaaS Performance Issue | Delayed Loading Speeds | Problems with Delays in SaaS Platform,1.0,404.0
3,381,"investment, data, analytic, tool, datum, analytics, optimization, decision, support, provide",Query on Data Analytics Tools for Investment Portfolio Optimization | Optimization of Investments Using Alteryx | Improve Investment Strategy with Advanced Data Analytics,1.0,381.0
4,370,"digital, brand, strategy, marketing, growth, support, customer, enhance, provide, look",Inquiry Regarding Digital Strategies | Strategy for Brand Expansion in Digital Space | Strategically Enhance Brand Growth Online,1.0,370.0
10,337,"campaign, marketing, digital, engagement, agency, strategy, issue, recent, assistance, target",Problems with Marketing Campaigns | Decline in Social Media Engagement Noted | Support Required for Marketing,1.0,337.0
6,283,"issue, problem, system, resolve, cause, support, update, customer, impact, report",Network Outage | Connectivity Difficulties | Immediate Attention Required: Platform Downtime Disrupting Device Connectivity,1.0,283.0
8,224,"problem, restart, data, issue, system, update, database, configuration, review, log",Service Problem | Failure in Data Encryption | Malfunction in Data Analytics Platform,1.0,224.0
0,201,"request, update, enhance, improve, integration, current, tool, project, user, customer", | Improvement of Project Timeline | Request for Integration with Sage Accounting SaaS Tools,1.0,201.0
13,88,"investment, data, datum, analytic, website, discrepancy, source, model, optimization, algorithm",Challenge in Investment Returns Prediction | Investigation into Variance of Projected Investment Returns | Investigation into Variance of Projected Investment Returns,1.0,88.0
7,62,"integration, api, project, synchronization, issue, sync, problem, datum, quickbooks, jira",Issues with Project Timelines Sync | Issues with Project Timelines Not Syncing Correctly | Issue with Magento Integration,1.0,62.0
14,43,"cloud, support, platform, guidance, good, dear, reach, integrate, customer, practice",OBS Studio | Instruction for Integrating Ansible with Docker for Automated Deployment | Implementing Redis with Rails for Analytics,1.0,43.0
