cluster_id,business_label,size,top_words,top_queue,top_tag,rep_tickets,avg_priority,volume,actionability_score
5,Critical System Outages (Urgent),545,"problem, kritisch, dringend, ausfall, sofortig, support, erheblich, team, beeinträchtigen, lösung",Science/Environmental Science,Bug,"[['Problem mit der Menüsynchronisierung gemeldet', 'Food & Drink/Restaurants', nan], ['Kritisches System ausgefallen: Sofortiges Handeln erforderlich', 'Beauty & Fitness/Cosmetics', nan], ['Kritisches Ereignis: Ausfall des Liefersystems - Dringende Aufmerksamkeit erforderlich', 'Food & Drink/Restaurants', nan]]",1.0,545,545.0
0,Software Bug Reports,527,"problem, nich, neu, support, lösung, versuchen, melden, team, app, fehler",Technical Support,Bug,"[['IstcstdinteMicrosoftTeams', 'Technical Support', 'Bug'], ['Probleme durch unkompatiblen Abhängigkeiten', 'Product Support', 'Customer'], ['Dringend: Meldung über schwerwiegende Systemstörung', 'Jobs & Education/Online Courses', nan]]",1.0,527,527.0
10,General Inquiry/Access Support,487,"anfrage, bezüglich, nich, schreiben, support, team, name, hallo, unterstützung, dankbar",Beauty & Fitness/Cosmetics,Security,"[['Anfrage bezüglich des Zugangs zu Kundensupport-Ressourcen', 'Business & Industrial/Manufacturing', nan], ['Benötigte Unterstützung: Änderung des Kalibrierungsplans', 'Business & Industrial/Manufacturing', nan], ['Anfrage bezüglich Kroger-Lieferhilfe', 'Food & Drink/Groceries', nan]]",1.0,487,487.0
3,System Crashes (Data Platform),468,"problem, the, issue, and, with, server, saas, issues, software, have",Technical Support,Bug,"[['Plötzlicher Systemausfall unserer Datenanalyseplattform während der Stoßzeiten', 'Technical Support', 'Crash'], ['Unterstützung System-Absturz erforderlich', 'Technical Support', 'Crash'], ['Fehler im System Kundensupport', 'Product Support', 'Bug']]",1.0,468,468.0
11,Cybersecurity & Firewall,457,"medizinisch, system, it, datum, software, krankenhaus, veraltet, firewall, zugriff, security",Technical Support,Security,"[['Datensperre-Problem', 'Product Support', 'Bug'], ['Verschleierung von medizinischen Daten', 'Billing and Payments', 'Security'], ['Datensicherheitszugriffsproblem', 'Sales and Pre-Sales', 'Security']]",1.0,457,457.0
12,Maintenance & Update Delays,397,"verzögerung, problem, lösung, team, support, innerhalb, nich, stunde, nächster, nwir",News,Performance,"[['Bezüglich zeitweiliger Ausfallzeiten', 'Business & Industrial/Manufacturing', nan], ['Anfragen bezüglich Verzögerungen bei Aktualisierungen des Bewertungsstatus', 'Hobbies & Leisure/Collectibles', nan], ['Dringend: Problem mit der Funktion für Eilmeldungen', 'News', nan]]",1.0,397,397.0
9,SaaS Integration Support,320,"integration, saas, projektmanagement, for, project, information, management, freuen, and, plattform",Customer Service,Feature,"[['Anfrage zu Skalierbarkeits- und Integrationsmöglichkeiten', 'Customer Service', 'Feature'], ['Aktualisierung und Optimierung der Software-Integrationen', 'IT Support', 'Feature'], ['Funktionen für mittelgroße Unternehmen', 'Sales and Pre-Sales', 'Customer']]",1.0,320,320.0
13,Investment Analytics Improvement,271,"datenanalyse, optimierung, investition, investment, data, verbesserung, tools, freuen, werkzeug, for",Technical Support,Feature,"[['Verbesserung der Investments durch Analyse', 'Billing and Payments', 'Feedback'], ['Hilfe bei der Kombination von Datenaufbereitung und Investitionsoptimierung', 'Customer Service', 'Feedback'], ['Support for Data Analysis Enhancements', 'IT Support', 'Performance']]",1.0,271,271.0
7,Medical Data Integrity,270,"medizinisch, datum, it, sicherung, krankenhaus, information, sicherheitsmaßnahme, verschlüsselung, schützen, patientendat",Customer Service,Security,"[['Schutz medizinischer Daten durch KNIME-Integration', 'Sales and Pre-Sales', 'Security'], ['Verschlußsicherung medizinischer Daten in Krankenhaus-Systemen', 'IT Support', 'Security'], ['Medizinische Daten-Sicherung', 'Technical Support', 'Backup']]",1.0,270,270.0
14,Data Analysis Tool Bugs,262,"investment, data, the, problem, analysis, software, issue, with, and, issues",Technical Support,Bug,"[['Probleme mit dem Datenanalysewerkzeug', 'IT Support', 'Technical'], ['Kritisches Problem bei der Datenaufarbeitungsanwendung: Anwendung Investitionsanalyse abgestürzt', 'Technical Support', 'Crash'], ['Datenanalysewerkzeug erzeugt unkonstante Investitionsprognosen', 'Technical Support', 'Bug']]",1.0,262,262.0
8,Marketing Tool Performance,247,"digital, marketing, kampagne, campaign, problem, the, our, and, agentur, campaigns",Technical Support,Bug,"[['Hilfe bei Marketing-Kampagnen-Problemen', 'Product Support', 'Feedback'], ['Anfrage bezüglich Störung bei digitalen Kampagnen unserer Marketingagentur', 'Product Support', 'Disruption'], ['Funktionalität der digitalen Kampagneninstrumente beeinträchtigt', 'Technical Support', 'Performance']]",1.0,247,247.0
4,Digital Marketing Strategy,238,"digital, strategie, markenwachstum, marketing, online, brand, information, freuen, growth, fördern",Customer Service,Feedback,"[['Frage zu Digitalstrategien', 'IT Support', 'Feedback'], ['Anfrage zu Digitalstrategien für Wachstumssteigerung', 'Customer Service', 'Marketing'], ['Taktiken für die Markenentwicklung durch digitale Marketingstrategien', 'Customer Service', 'Customer']]",1.0,238,238.0
6,Billing & Payment Errors,193,"problem, rechnung, fehler, billing, support, lösung, system, konto, checkout, melden",Billing and Payments,Billing,"[['Probleme bei der monatlichen Abonnementgebühr', 'Billing and Payments', 'Billing'], ['Rechnungsfehler', 'Billing and Payments', 'Billing'], ['Anfrage zur Fehlerbehebung bei Rechnungen', 'Billing and Payments', 'Billing']]",1.0,193,193.0
2,VPN Connectivity Issues,68,"vpn, verbindung, problem, support, verbindungsproblem, team, konfiguration, nich, beeinträchtigen, neu",IT & Technology/Network Infrastructure,Network,"[['Betreff: VPN-Serviceunterbrechung', 'IT & Technology/Network Infrastructure', nan], ['VPN-Konnektivität zeitweise unterbrochen', 'IT & Technology/Network Infrastructure', nan], ['Meldungen über zeitweise VPN-Verbindungsprobleme', 'IT & Technology/Network Infrastructure', nan]]",1.0,68,68.0
1,General/Miscellaneous (Noisy),250,"üblich, überzeugen, überwinden, überweisung, überwachung, überwachen, übertragung, übertragen, übersteuerung, überspringen",Technical Support,Bug,"[[nan, 'Technical Support', 'Bug'], [nan, 'Returns and Exchanges', 'Feedback'], [nan, 'General Inquiry', 'Bug']]",1.0,0,0.0
