cluster_id,size,top_words,top_queue,top_tag,rep_tickets
0,447,"problem, mehrere, bestehen, weiterhin, beeinträchtigen, gerät, beheben, neustart, unterstützung, lösung",Technical Support,Bug,"[['Probleme mit der digitalen Strategie auftreten', 'IT Support', 'Bug'], ['Mehrere Produkte sind von gemeldetem Vorfall betroffen', 'IT Support', 'Bug'], ['Technische Schwierigkeiten bei digitalen Strategien beeinträchtigt', 'Technical Support', 'Performance']]"
1,407,"it, krankenhaus, system, medizinisch, veraltet, feststellen, zugriff, sicherheitsprotokolle, patientendat, datum",Technical Support,Security,"[['Kritisches Problem bei unserem Krankenhaus-IT-System', 'Customer Service', 'Bug'], ['Datenschutzlücken im Krankenhaus-IT-System', 'Technical Support', 'Security'], ['Datenschutzlücken im Krankenhaus-IT-System', 'Technical Support', 'Security']]"
2,542,"digital, verbessern, verbesserung, aktualisierung, kampagne, unterstützung, bitte, marketing, aktuell, erhöhen",Product Support,Feedback,"[[nan, 'General Inquiry', 'Bug'], ['SynchronisationProjekttermineNichtRichtig', 'Technical Support', 'Technical'], ['Digitale Kampagnen im Quartal unter den Erwartungen geblieben', 'Customer Service', 'Performance']]"
3,162,"security, medical, data, access, and, been, hospital, the, systems, for",Technical Support,Security,"[['Improving Security of Medical Data Systems', 'Customer Service', 'Security'], ['Security Vulnerability in Medical IT System', 'Product Support', 'Security'], ['Issue with Security Systems', 'Billing and Payments', 'Security']]"
4,395,"integration, saas, projektmanagement, freuen, information, bitte, bereitstellen, plattform, unterstützung, detailliert",Customer Service,Feature,"[['Projektmanagement-Software-Integrationen', 'Technical Support', 'Customer'], ['Details zu skalbarer Projektmanagement SaaS-Integration', 'Customer Service', 'Feature'], ['Details zu SaaS-Features für Projektmanagement', 'Customer Service', 'Feature']]"
5,167,"medizinisch, sicherung, datum, it, vertraulichkeit, information, krankenhaus, integrität, sensibl, verfügbarkeit",Customer Service,Security,"[['Sicherung medizinischer Daten im Rahmen von Krankenhaus-IT-Dienstleistungen', 'Technical Support', 'Backup'], ['Sicherung medizinischer Daten bei Gesundheitsversorger', 'Customer Service', 'Backup'], ['Sicherung medizinischer Daten bei Gesundheitsversorger', 'Customer Service', 'Backup']]"
6,470,"the, issue, and, have, with, but, data, your, please, for",Technical Support,Bug,"[['Issue with the Data Analysis Platforms', 'Product Support', 'Outage'], ['Issue with Recent Marketing Campaign', 'Product Support', 'Disruption'], ['Issue with Recent Marketing Campaign', 'Product Support', 'Disruption']]"
7,323,"problem, lösung, melden, bitte, benötigen, falls, fehler, neu, versuchen, schätzen",Technical Support,Technical,"[['Probleme bei der Aktualisierung des Investitionsportfolios', 'Customer Service', 'Customer'], ['Problem mit dem Investitionsdashboard melden', 'Technical Support', 'Customer'], ['Problem mit dem Ladeprozess des Dashboards', 'Technical Support', 'Technical,Customer,Bug,Feedback,Resolution']]"
8,288,"issues, with, and, the, data, due, issue, analysis, have, are",Technical Support,Bug,"[['Issues with Integration System and Data Analysis Tools', 'Customer Service', 'Bug'], ['Issues with Integration System and Data Analysis Tools', 'Customer Service', 'Bug'], ['Issues with Data Analysis Tools', 'IT Support', 'Bug']]"
9,281,"medizinisch, datum, verschlüsselung, sicherheitsmaßnahme, sicherheit, schützen, it, zugriff, information, krankenhaus",Technical Support,Security,"[['Sicherheitsanforderungen', 'Customer Service', 'Security'], ['Probleme bei der Zugriffsmöglichkeit auf medizinische Daten', 'Technical Support', 'Customer'], ['Problem mit der Übertragung medizinischer Daten', 'Technical Support', 'Technical']]"
10,54,"br, problem, melden, kundenservice, lösen, geehrt, team, name, bitte, maßnahme",Technical Support,Security,"[['unerwarteter Zugriff auf medizinische Daten wurde abgelehnt', 'Product Support', 'Technical'], ['Aktualisierung der digitalen Markenstrategie', 'Product Support', 'Customer'], ['Kritischer Datenverlust durch unerlaubten Zugriff auf medizinische Informationen', 'Technical Support', 'Security']]"
11,570,"problem, neu, starten, überprüfen, bestehen, behalten, versuchen, server, fehler, lösen",Technical Support,Bug,"[['Problem mit ungültigen Rechnungsumsätzen im Rechnungsstellungssystem', 'Billing and Payments', 'Billing'], ['Probleme bei der Kampagne', 'IT Support', 'Login'], ['Technische Herausforderung bei Optimierungsinstrument', 'Technical Support', 'Bug']]"
12,266,"strategie, digital, markenwachstum, erfahren, dienstleistung, freuen, information, fördern, interessiert, geben",Customer Service,Feedback,"[['Frage zur digitalen Strategie und Dienstleistungen', 'Returns and Exchanges', 'Feedback'], ['Digital Markenwachstum', 'Product Support', 'Feedback'], ['Anfrage zur Verbesserung der Markensichtbarkeit durch digitale Strategien', 'Customer Service', 'Feedback']]"
13,283,"optimierung, datenanalyse, investition, freuen, tools, verbesserung, unterstützung, treffen, erhalten, information",Product Support,Feedback,"[['Optimierung von Investitionen und Datenanalyse', 'Returns and Exchanges', 'Feedback'], ['Verbesserung der Investments durch Analyse', 'Billing and Payments', 'Feedback'], ['Verbesserung von Investitionen durch die Nutzung von Datenanalyse', 'Billing and Payments', 'Feedback']]"
14,345,"for, and, could, would, provide, your, support, about, more, our",Customer Service,Feature,"[['Request for Details on Integration Capabilities for SaaS Project Management', 'Customer Service', 'Feature'], ['Request for Data Analysis Optimization for Investment Decisions', 'Customer Service', 'Feedback'], ['Query on Pricing Providers and Billing Details for SaaS Project Management Solution', 'Billing and Payments', 'Billing']]"
